UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days
U100002,0.0,2.0,53,PR100258,ANDROID,PR100258,0.0,0.0
U100003,1.0,2.0,1021,PR100079,WINDOWS,PR100079,1.0,2.0
U100004,1.0,15.0,341,PR100069,WINDOWS,PR100069,1.0,0.0
U100005,1.0,3.0,681,PR100234,ANDROID,PR100234,2.0,0.0
U100006,1.0,1.0,55,PR101111,ANDROID,PR101111,1.0,0.0
U100007,0.0,0.0,460,Product101,WINDOWS,PR100265,0.0,0.0
U100008,5.0,16.0,395,PR100025,ANDROID,PR100962,21.0,24.0
U100009,4.0,10.0,78,PR100640,ANDROID,PR100640,5.0,4.0
U100012,1.0,5.0,124,PR100593,MAC OS X,PR100055,0.0,1.0
U100013,2.0,2.0,1687,PR100177,MAC OS X,PR100134,3.0,1.0
U100014,1.0,4.0,155,PR100138,WINDOWS,PR100138,1.0,0.0
U100015,1.0,4.0,659,PR100095,ANDROID,PR100095,2.0,11.0
U100016,1.0,1.0,114,PR100172,ANDROID,PR100172,1.0,0.0
U100017,1.0,1.0,45,Product101,WINDOWS,Product101,0.0,0.0
U100018,5.0,3.0,44,PR100403,WINDOWS,PR100403,8.0,23.0
U100019,2.0,3.0,317,PR100188,WINDOWS,PR100040,3.0,0.0
U100020,0.0,2.0,163,PR100017,MAC OS X,PR100017,0.0,0.0
U100023,4.0,3.0,437,PR100181,WINDOWS,PR100181,5.0,0.0
U100024,0.0,0.0,85,Product101,ANDROID,PR100025,0.0,0.0
U100025,0.0,0.0,129,Product101,WINDOWS,PR100240,0.0,0.0
U100026,2.0,2.0,68,PR100153,WINDOWS,PR100153,1.0,1.0
U100027,6.0,41.0,2257,PR100722,WINDOWS,PR100722,15.0,39.0
U100028,0.0,1.0,126,PR100137,ANDROID,PR100137,0.0,0.0
U100029,1.0,2.0,574,PR100301,MAC OS X,PR100301,1.0,1.0
U100030,2.0,5.0,104,PR100591,MAC OS X,PR100316,1.0,6.0
U100031,4.0,11.0,414,PR100097,WINDOWS,PR100097,10.0,59.0
U100032,3.0,9.0,105,PR100268,WINDOWS,PR100268,4.0,219.0
U100033,0.0,0.0,84,Product101,ANDROID,PR100172,0.0,0.0
U100034,5.0,83.0,453,PR100812,WINDOWS,PR100812,106.0,39.0
U100035,0.0,0.0,73,Product101,ANDROID,PR100633,0.0,0.0
U100036,2.0,5.0,111,PR100123,WINDOWS,PR100123,3.0,11.0
U100038,2.0,10.0,134,PR101800,IOS,PR101800,13.0,13.0
U100039,0.0,2.0,2257,PR100047,MAC OS X,PR100047,0.0,0.0
U100040,3.0,4.0,335,PR100513,WINDOWS,PR100513,5.0,3.0
U100042,0.0,0.0,64,Product101,ANDROID,PR100182,0.0,0.0
U100043,3.0,9.0,446,PR101207,WINDOWS,PR100017,10.0,12.0
U100044,1.0,1.0,75,Product101,WINDOWS,Product101,0.0,2.0
U100045,3.0,4.0,348,PR100642,ANDROID,PR100642,4.0,0.0
